TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3285.79903459129,0.0055731097,1482004,,,,,,,168,,,,,,,,,,
3285.800423483735,0.005573114,1482005,,,,,,,32,,,,,,,,,,
3285.80181237618,0.005573118,1482006,,,,,,,32,,,,,,,,,,
3285.803201268626,0.0055731223,1482007,,,,,,,32,,,,,,,,,,
3285.8045901610717,0.0055731265,1482008,18858.389,16.581284,2474.023,5.6197047,20497.934,18.91737,0,,,,,809.2409232074983,6.878838E-4,242.10779017697024,7.067398E-4,0.015262722,0.16179456
3285.8059790535167,0.0055731307,1482009,18823.877,16.563784,2465.5518,5.6128597,20446.588,18.897406,0,,,,,809.2418780970257,6.880813E-4,242.10639718921843,7.06864E-4,0.017139964,0.15783487
3285.8073679464283,0.0055731353,1482010,18862.664,16.578339,2469.3916,5.615764,20510.877,18.914011,0,,,,,809.2438126732683,6.8714714E-4,242.10411208683044,7.0739206E-4,0.017513826,0.15511282
3285.808756838874,0.0055731395,1482011,18835.71,16.568289,2463.3628,5.6158547,20471.262,18.902546,0,,,,,809.2423261415337,6.872985E-4,242.10252176484778,7.073361E-4,0.017330652,0.15340155
3285.810145731319,0.0055731437,1482012,18801.086,16.560741,2477.944,5.619435,20442.443,18.893934,0,,,,,809.2407848702011,6.8868545E-4,242.1150857097007,7.080102E-4,0.01618636,0.16795762
3285.811534623765,0.005573148,1482013,18826.201,16.569704,2468.4194,5.621405,20472.887,18.90416,0,,,,,809.2423842890129,6.883232E-4,242.1052087867468,7.080114E-4,0.017845813,0.15575005
3285.812923516211,0.005573152,1482014,18827.03,16.568169,2467.594,5.615197,20455.215,18.902409,0,,,,,809.2406315909818,6.8770436E-4,242.10406515453465,7.076605E-4,0.014525078,0.15551534
3285.814312408656,0.0055731563,1482015,18847.912,16.573599,2467.106,5.618751,20487.242,18.908606,0,,,,,809.2428889521271,6.875215E-4,242.10470166561583,7.071983E-4,0.015098186,0.15434332
3285.815701301567,0.005573161,1482016,18838.53,16.566877,2464.0352,5.610484,20477.27,18.900934,0,,,,,809.2397264498154,6.8798504E-4,242.10858335576447,7.0661976E-4,0.012976034,0.16004708
