TIME,TIMECORR,CADENCENO,SAP_FLUX,SAP_FLUX_ERR,SAP_BKG,SAP_BKG_ERR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,QUALITY,PSF_CENTR1,PSF_CENTR1_ERR,PSF_CENTR2,PSF_CENTR2_ERR,MOM_CENTR1,MOM_CENTR1_ERR,MOM_CENTR2,MOM_CENTR2_ERR,POS_CORR1,POS_CORR2
3285.799038293297,0.0055768117,1482004,,,,,,,168,,,,,,,,,,
3285.800427186208,0.0055768164,1482005,,,,,,,32,,,,,,,,,,
3285.801816078653,0.0055768206,1482006,,,,,,,32,,,,,,,,,,
3285.8032049715644,0.0055768252,1482007,,,,,,,32,,,,,,,,,,
3285.804593864476,0.00557683,1482008,406.57565,4.854055,1036.7653,2.2753212,353.0751,7.1839514,0,,,,,829.0619318742836,0.0074273287,177.7142632890862,0.007294616,0.014342051,0.16461414
3285.8059827573866,0.0055768345,1482009,406.39682,4.854254,1036.3597,2.2723246,352.30984,7.1842456,0,,,,,829.0635770077135,0.0074385162,177.71645106075852,0.0072949245,0.016227147,0.16052985
3285.807371650298,0.005576839,1482010,403.1246,4.8460927,1037.1724,2.2726805,348.20294,7.172168,0,,,,,829.0664849964325,0.0074762944,177.70805172437886,0.0073652375,0.01670335,0.15802324
3285.8087605432097,0.005576844,1482011,410.3524,4.858738,1039.6914,2.2757015,358.56918,7.190882,0,,,,,829.0754752927761,0.007339956,177.71685910162952,0.007250477,0.01643902,0.1561658
3285.8101494361204,0.0055768485,1482012,402.10587,4.8538694,1042.4153,2.2774088,345.89777,7.1836767,0,,,,,829.0810430315486,0.007483151,177.7126771878129,0.007395144,0.015235044,0.17104994
3285.811538329032,0.005576853,1482013,412.27637,4.856157,1033.6182,2.275361,361.32425,7.1870623,0,,,,,829.0775985899992,0.007316684,177.71853373366372,0.007203612,0.016848318,0.15858346
3285.8129272219435,0.005576858,1482014,400.27142,4.848854,1040.3456,2.2748055,343.64545,7.1762543,0,,,,,829.0721622638413,0.007515999,177.70315430140013,0.0074340478,0.013636195,0.1581752
3285.8143161143885,0.005576862,1482015,394.21518,4.845939,1038.6189,2.2770152,334.79034,7.1719403,0,,,,,829.0731518196263,0.007632173,177.70578295921365,0.0075403033,0.014064034,0.15700565
3285.8157050072996,0.0055768667,1482016,410.31567,4.853633,1036.8848,2.2717075,358.7926,7.183327,0,,,,,829.0689225859783,0.007352111,177.70521363856318,0.0072525744,0.011977912,0.16282448
3285.817093900211,0.0055768713,1482017,403.47476,4.854689,1040.4573,2.279052,348.8151,7.1848903,0,,,,,829.0745904626199,0.0074805864,177.70833394266796,0.0073656635,0.020106697,0.15491962
3285.8184827931227,0.005576876,1482018,404.07007,4.847693,1035.4891,2.2751145,348.7913,7.174536,0,,,,,829.080503524378,0.0074446597,177.7116797001465,0.007331806,0.016008096,0.16230181
3285.8198716860334,0.0055768806,1482019,413.73856,4.8573422,1033.3276,2.271247,363.95938,7.188817,0,,,,,829.0697098829736,0.007279277,177.7000978699691,0.0072096875,0.009907981,0.15719762
3285.821260578945,0.0055768853,1482020,402.64746,4.8522835,1041.6815,2.278018,348.0566,7.18133,0,,,,,829.0729189647793,0.007493748,177.71165750131652,0.00737149,0.015908632,0.16449894
3285.8226494718565,0.00557689,1482021,405.28812,4.8535748,1036.3014,2.2748952,351.03983,7.1832404,0,,,,,829.0763530929873,0.0074361917,177.70917563586073,0.0073340316,0.013274199,0.15209529
3285.8240383647676,0.0055768946,1482022,405.3774,4.850926,1037.5854,2.2737608,351.50616,7.1793213,0,,,,,829.0628203038208,0.0074451887,177.72027924358943,0.0073001934,0.013417653,0.16115277
3285.825427257679,0.0055768993,1482023,401.15482,4.846551,1036.689,2.2743697,344.7137,7.1728454,0,,,,,829.0831490041663,0.007485589,177.71389117609056,0.007404354,0.013138453,0.16148703
3285.8268161505903,0.005576904,1482024,407.68094,4.8493953,1034.9796,2.2713795,354.3955,7.1770554,0,,,,,829.0690102260481,0.0074081398,177.70419132955024,0.0072965883,0.015820427,0.15657541
3285.8282050435014,0.0055769086,1482025,409.6364,4.853221,1035.1122,2.2729576,358.2312,7.1827173,0,,,,,829.0772816745524,0.007339357,177.71093861342084,0.007265337,0.010218313,0.15580872
3285.829593936412,0.0055769132,1482026,408.62097,4.8493567,1035.7115,2.271001,356.26477,7.1769986,0,,,,,829.0726170265167,0.0073848884,177.71596860566336,0.0072592273,0.014175613,0.1549883
3285.8309828293236,0.005576918,1482027,394.58615,4.840404,1040.2183,2.2744815,335.2947,7.1637483,0,,,,,829.0764498148989,0.0076233186,177.70160730720428,0.0075045456,0.015650317,0.16062135
3285.832371722235,0.0055769226,1482028,404.94858,4.8476276,1038.0054,2.2744758,351.1702,7.1744394,0,,,,,829.064899105024,0.00744069,177.7040651263332,0.0073380535,0.012555681,0.15423012
3285.833760615146,0.005576927,1482029,407.49512,4.8486137,1034.8517,2.2736716,354.2326,7.175899,0,,,,,829.0764177837644,0.007395806,177.7034429675511,0.007279522,0.015649749,0.15292394
3285.8351495080574,0.005576932,1482030,407.91177,4.8521633,1038.192,2.2739968,354.90854,7.1811523,0,,,,,829.080747667153,0.0073788385,177.70636904815476,0.0072953156,0.010446629,0.15947069
3285.836538400968,0.0055769365,1482031,406.26584,4.853126,1039.1123,2.2746143,352.1051,7.182577,0,,,,,829.0696923991197,0.0074295932,177.706146546793,0.0073232595,0.0161837,0.1563984
3285.8379272938782,0.005576941,1482032,404.29947,4.846689,1036.2852,2.2719026,349.6456,7.17305,0,,,,,829.0820856091176,0.0074421912,177.7072162553986,0.007351462,0.010914718,0.15762094
3285.83931618679,0.005576946,1482033,396.55634,4.8489957,1041.0923,2.279887,339.42422,7.1764646,0,,,,,829.0791424902325,0.007586826,177.69607449501135,0.0075025666,0.012749878,0.15473597
3285.8407050797014,0.0055769505,1482034,399.84543,4.8435583,1036.3406,2.2727826,345.408,7.1684165,0,,,,,829.0734786508042,0.0075275605,177.7095648023567,0.0074337027,0.014896318,0.15093797
3285.842093972612,0.005576955,1482035,411.2964,4.865172,1038.5007,2.2758322,361.95328,7.200404,0,,,,,829.0666444591379,0.0073563037,177.7123058538958,0.007233964,0.009164185,0.15447037
3285.843482865523,0.00557696,1482036,404.96866,4.8481345,1036.3816,2.273402,350.83463,7.1751895,0,,,,,829.0751410201171,0.0074313423,177.7066197382391,0.0073484057,0.014919793,0.15559754
3285.8448717584347,0.0055769645,1482037,400.9625,4.8497605,1039.8464,2.2781224,345.4872,7.1775956,0,,,,,829.076227843033,0.007504377,177.70372609861246,0.0074070636,0.011625675,0.15047564
3285.8462606513463,0.005576969,1482038,405.21548,4.846995,1036.2023,2.273446,350.94495,7.173503,0,,,,,829.0716731317326,0.007422262,177.7105404166376,0.0073296702,0.014038166,0.15481475
3285.847649544257,0.005576974,1482039,397.2771,4.843008,1039.3096,2.2743077,339.81097,7.1676025,0,,,,,829.07727411747,0.007560799,177.7025015099861,0.0074742413,0.010426785,0.1542218
3285.8490384371685,0.0055769784,1482040,404.04025,4.851676,1040.5891,2.275326,349.19254,7.180431,0,,,,,829.0740616375464,0.0074493866,177.7011373412635,0.007361321,0.010172158,0.15689558
3285.85042733008,0.005576983,1482041,409.66144,4.8570194,1036.9897,2.2751737,357.9706,7.188339,0,,,,,829.0747625282519,0.0073639206,177.70498939650258,0.0072718104,0.014351414,0.15204732
3285.8518162229907,0.0055769878,1482042,401.17154,4.8523436,1042.4874,2.2774503,345.62027,7.181419,0,,,,,829.0774565656283,0.0074969367,177.69644451902332,0.0074229003,0.012241976,0.15275471
3285.8532051159013,0.0055769924,1482043,401.58475,4.847031,1038.0334,2.27378,346.3911,7.1735563,0,,,,,829.0675283687536,0.0075049023,177.70953975757027,0.007395063,0.012188436,0.15172903
3285.854594008813,0.005576997,1482044,403.2753,4.849151,1038.9987,2.2751071,348.6638,7.176694,0,,,,,829.0823543510694,0.007484809,177.70466432597215,0.0073510627,0.012397809,0.15568782
3285.85598290219,0.005577002,1482045,402.7802,4.84837,1038.9434,2.2739136,347.36633,7.175538,0,,,,,829.0642086191127,0.007494123,177.70726142657932,0.007368641,0.013387082,0.14948511
3285.857371795101,0.005577007,1482046,407.87784,4.8559165,1038.3456,2.2735765,356.66257,7.1867075,0,,,,,829.0742436265452,0.0074102804,177.723455462208,0.007274826,0.0067827553,0.15617654
3285.8587606880124,0.0055770115,1482047,399.1653,4.8444586,1039.7625,2.2738156,342.19992,7.1697493,0,,,,,829.0722228669141,0.0075395666,177.70741755696687,0.007432615,0.011416566,0.15603231
3285.860149580924,0.005577016,1482048,398.8003,4.8420734,1038.3809,2.2736795,342.17105,7.166219,0,,,,,829.0652913554118,0.0075544664,177.69999224216753,0.007454704,0.013778816,0.14788912
3285.8615384738346,0.005577021,1482049,405.22223,4.851574,1037.1464,2.2755125,352.76425,7.18028,0,,,,,829.0744912923858,0.007441764,177.70470988411424,0.0073339264,0.0115723135,0.15109658
3285.862927366746,0.0055770255,1482050,404.04086,4.846006,1036.5198,2.2724266,349.39948,7.1720395,0,,,,,829.0789865277195,0.007461207,177.70005588240807,0.0073502213,0.010620585,0.15388946
3285.8643162596577,0.00557703,1482051,408.63663,4.8567505,1039.033,2.2752218,356.61807,7.187941,0,,,,,829.0760410149542,0.007384116,177.70884672457552,0.007285946,0.011081506,0.16015007
3285.865705152569,0.005577035,1482052,399.40497,4.848962,1042.4167,2.2772086,343.7927,7.176414,0,,,,,829.0808848267546,0.007531672,177.6985288889344,0.0074307965,0.010891336,0.14903277
3285.867094045945,0.00557704,1482053,398.2678,4.842969,1038.9768,2.273159,340.79404,7.1675444,0,,,,,829.0780260185871,0.0075542904,177.69920463080123,0.0074568214,0.017481616,0.14581518
3285.8684829388567,0.0055770446,1482054,407.62598,4.856437,1039.7307,2.2761695,356.55814,7.187477,0,,,,,829.060240144992,0.007430316,177.71280884847042,0.007292748,0.005204858,0.16135155
3285.8698718317683,0.005577049,1482055,408.6988,4.851125,1035.8445,2.272445,355.46176,7.1796155,0,,,,,829.0655338781213,0.0073869526,177.72234005311125,0.0072737252,0.011450476,0.156105
3285.871260724679,0.005577054,1482056,402.75925,4.852853,1040.4471,2.2766209,348.39215,7.182173,0,,,,,829.0641778412852,0.0074961428,177.71673406152271,0.0073805987,0.013416079,0.1480499
3285.8726496175905,0.0055770585,1482057,406.72833,4.850939,1035.232,2.2737346,354.32617,7.1793394,0,,,,,829.0719478175891,0.0073989457,177.704652257225,0.007300091,0.012510765,0.15153922
3285.874038510502,0.005577063,1482058,398.66934,4.8458185,1040.632,2.2756603,342.99362,7.171762,0,,,,,829.0781814255911,0.0075290957,177.70396231219746,0.00745138,0.005337563,0.1540585
3285.875427403879,0.0055770683,1482059,410.14276,4.8609037,1039.1804,2.2764232,358.5164,7.1940875,0,,,,,829.0798069606232,0.007355016,177.71153799975966,0.0072508403,0.015729431,0.15394528
3285.8768162967904,0.005577073,1482060,402.56042,4.847028,1038.411,2.2749445,348.09818,7.173551,0,,,,,829.0691192100517,0.007484892,177.70611644866946,0.007373634,0.008702555,0.14649098
3285.8782051897015,0.0055770776,1482061,399.84964,4.850116,1041.1721,2.2771049,343.17767,7.178122,0,,,,,829.0785159229972,0.0075376956,177.6987813263919,0.007430385,0.0106491735,0.15581107
3285.8795940826126,0.0055770823,1482062,402.09344,4.84807,1037.0071,2.272788,347.68954,7.175094,0,,,,,829.0772554282187,0.0074702078,177.70144621258356,0.007392662,0.012813674,0.14606744
3285.880982975988,0.0055770874,1482063,403.76205,4.8471947,1037.439,2.2750092,349.2816,7.173799,0,,,,,829.0732219598357,0.0074560563,177.70867800728388,0.0073649674,0.008795475,0.1528794
3285.8823718688986,0.005577092,1482064,411.02127,4.856266,1037.3313,2.2744486,360.76056,7.1872244,0,,,,,829.0737489718416,0.007337156,177.70796825433487,0.007242573,0.016699493,0.14673665
3285.88376076181,0.0055770967,1482065,406.65582,4.862061,1042.5358,2.2772543,353.8044,7.195801,0,,,,,829.0759325842209,0.007415389,177.704080549719,0.0073348545,0.011960219,0.1562932
3285.8851496547213,0.0055771014,1482066,403.039,4.8462086,1037.3053,2.2742634,350.13254,7.1723394,0,,,,,829.0763497254181,0.0074679395,177.6906961504682,0.00738685,0.007347743,0.14213687
3285.8865385480985,0.0055771065,1482067,394.76877,4.847378,1041.3064,2.2777672,335.56284,7.1740694,0,,,,,829.068819663732,0.007645591,177.70563376359067,0.007508645,0.011854887,0.154649
3285.88792744101,0.005577111,1482068,406.46237,4.8507476,1035.9255,2.273232,353.3474,7.1790566,0,,,,,829.064507477208,0.007418887,177.70850200868654,0.0073116627,0.010735088,0.15227085
3285.8893163339208,0.005577116,1482069,402.79233,4.847751,1037.848,2.2725866,348.51938,7.174622,0,,,,,829.0760827007363,0.007477728,177.70947589330763,0.0073609375,0.006332025,0.15309818
3285.8907052268323,0.0055771205,1482070,394.92874,4.841368,1039.9598,2.2745974,336.7175,7.1651754,0,,,,,829.0669330493412,0.007604307,177.7106849357268,0.007517281,0.0136526385,0.14875445
3285.8920941202095,0.0055771256,1482071,397.0884,4.8460336,1038.7092,2.275623,339.91708,7.1720805,0,,,,,829.0787208472439,0.007592027,177.6965406736008,0.0074745594,0.011282678,0.14895459
3285.89348301312,0.0055771302,1482072,400.72552,4.8503995,1041.4006,2.2768588,345.68283,7.1785417,0,,,,,829.0700125876256,0.007524549,177.6994788912086,0.007426328,0.011836236,0.14587842
3285.8948719060313,0.005577135,1482073,404.62317,4.849625,1038.0897,2.2736936,350.54376,7.1773953,0,,,,,829.0716346249894,0.0074468353,177.7038381443962,0.007358371,0.008740961,0.15718175
3285.8962607994085,0.00557714,1482074,401.78793,4.847882,1039.7606,2.2754664,346.26938,7.1748157,0,,,,,829.0683246639168,0.0075003724,177.70253399646276,0.00739026,0.0095550595,0.15455016
3285.89764969232,0.0055771447,1482075,404.82898,4.846185,1036.2935,2.2741525,351.52515,7.1723046,0,,,,,829.0641572161602,0.0074340273,177.71972365336458,0.0073300377,0.011856934,0.14865664
3285.8990385852308,0.0055771493,1482076,408.93036,4.8547826,1038.1486,2.2733443,357.42743,7.1850286,0,,,,,829.0774396334203,0.007372992,177.7038148558509,0.007271378,0.012431564,0.14793701
3285.900427478608,0.0055771545,1482077,400.6722,4.8463097,1038.1392,2.2747908,345.26614,7.1724887,0,,,,,829.0745228012833,0.0075084083,177.7019564163056,0.0074060867,0.007802892,0.15359192
3285.9018163715195,0.005577159,1482078,398.25455,4.8420806,1037.0391,2.2745588,341.5892,7.1662297,0,,,,,829.0735969709759,0.0075489143,177.70314716713946,0.007446717,0.011636176,0.14281817
3285.90320526443,0.005577164,1482079,407.09238,4.8517423,1037.6718,2.2744615,355.08786,7.180529,0,,,,,829.0802314898519,0.007394485,177.71287593743693,0.0072933896,0.009670585,0.15297817
3285.9045941578074,0.005577169,1482080,404.02002,4.854137,1040.0835,2.2765179,350.2507,7.184073,0,,,,,829.0790104883496,0.007443564,177.7054804932543,0.007365798,0.010848964,0.15115935
3285.905983050719,0.0055771735,1482081,407.85352,4.85683,1036.785,2.2722461,355.79486,7.1880593,0,,,,,829.0780284472896,0.0073804883,177.71278088060572,0.0072921654,0.011950789,0.14991511
3285.9073719440953,0.0055771787,1482082,406.93198,4.8583264,1040.9464,2.2760615,355.03107,7.1902733,0,,,,,829.0725246874266,0.007412902,177.7139535771741,0.0073013767,0.00853618,0.14502494
3285.908760837006,0.0055771833,1482083,402.4695,4.8514194,1040.4458,2.2754467,348.74124,7.1800513,0,,,,,829.0702524167905,0.007504906,177.70195708573112,0.007393118,0.011949049,0.1526243
3285.9101497299175,0.005577188,1482084,415.90723,4.8668604,1038.7148,2.2746627,367.22507,7.2029037,0,,,,,829.0657769435351,0.0072747585,177.72147091998582,0.0071623316,0.011887207,0.14925048
3285.9115386232947,0.005577193,1482085,405.33942,4.854033,1041.0525,2.2753417,351.40823,7.1839194,0,,,,,829.0575033306675,0.0074684033,177.72231425563876,0.007304745,0.0101141445,0.15471876
3285.9129275162054,0.0055771978,1482086,401.7708,4.847157,1038.5615,2.2731526,347.57315,7.1737432,0,,,,,829.0723299741435,0.0074995058,177.70240297601737,0.0073959827,0.012458743,0.14151812
3285.9143164095826,0.005577203,1482087,408.00226,4.8537936,1038.0505,2.2744155,356.1266,7.183565,0,,,,,829.0758890854266,0.0073793307,177.70171602635276,0.00730769,0.0073836227,0.15595555
3285.915705302494,0.0055772075,1482088,409.267,4.850883,1033.3124,2.2703567,358.47177,7.179257,0,,,,,829.0696697921111,0.0073731267,177.7150493413705,0.0072613386,0.010941571,0.14225511
3285.917094195871,0.0055772127,1482089,398.9668,4.845453,1037.5525,2.2741733,343.00565,7.1712203,0,,,,,829.0686369900296,0.0075516226,177.6998896801103,0.0074549927,0.008112737,0.15520896
3285.9184830887816,0.0055772173,1482090,405.6917,4.856711,1039.8574,2.2772243,353.26483,7.1878824,0,,,,,829.0705857103669,0.007445463,177.7119432189117,0.0073320935,0.016822508,0.1398844
3285.919871982159,0.0055772224,1482091,405.0353,4.848154,1037.3027,2.2724912,351.61078,7.175218,0,,,,,829.0728440239649,0.0074323625,177.70650504123782,0.007345636,0.0061094305,0.15639865
3285.9212608750704,0.005577227,1482092,411.88513,4.856829,1037.1455,2.2723682,362.19516,7.188058,0,,,,,829.0757028099482,0.0073353387,177.70261378026217,0.0072278506,0.0114125125,0.14518607
3285.922649767981,0.0055772318,1482093,402.62418,4.841291,1034.9814,2.2709835,348.20212,7.165061,0,,,,,829.0664291329584,0.007495772,177.70837447706668,0.007357424,0.013786164,0.1440124
3285.9240386613583,0.005577237,1482094,400.82974,4.84917,1040.9342,2.2752237,345.0551,7.176722,0,,,,,829.0667834059371,0.0075118123,177.72108044024304,0.0074071465,0.009084984,0.15722555
3285.925427554735,0.005577242,1482095,402.06848,4.8494067,1040.9708,2.2753663,347.75308,7.177072,0,,,,,829.0657816152809,0.0074945544,177.7155024292174,0.0073798494,0.0081870295,0.14684041
